Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,exceptionality,sparsity,fidelity,num_cfs,uncertainty,Value,Found
0,"[10, 18, 10, 11, 12, 15, 16, 17]","[13, 12, 10, 11, 12, 15, 16, 17]",Agent: 10 Goal: 18 Frozen: [10 11 12 15 16 17],Agent: 13 Goal: 12 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
37,"[11, 16, 10, 11, 12, 15, 16, 17]","[18, 13, 10, 11, 12, 15, 16, 17]",Agent: 11 Goal: 16 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 13 Frozen: [10 11 12 15 16 17],"[1, 1, 0]",,1.0,1.0,1.0,1,1.0,0,0
44,"[11, 5, 10, 11, 12, 15, 16, 17]","[6, 0, 10, 11, 12, 15, 16, 17]",Agent: 11 Goal: 5 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 0 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
49,"[16, 4, 10, 11, 12, 15, 16, 17]","[10, 1, 10, 11, 12, 15, 16, 17]",Agent: 16 Goal: 4 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 1 Frozen: [10 11 12 15 16 17],"[0, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
50,"[0, 0, 10, 11, 12, 15, 16, 17]","[11, 23, 10, 11, 12, 15, 16, 17]",Agent: 0 Goal: 0 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 23 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
58,"[17, 0, 10, 11, 12, 15, 16, 17]","[12, 23, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 0 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 23 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
63,"[17, 12, 10, 11, 12, 15, 16, 17]","[13, 7, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 13 Goal: 7 Frozen: [10 11 12 15 16 17],"[0, 0, 3]",,1.0,1.0,1.0,1,1.0,0,0
64,"[22, 18, 10, 11, 12, 15, 16, 17]","[23, 20, 10, 11, 12, 15, 16, 17]",Agent: 22 Goal: 18 Frozen: [10 11 12 15 16 17],Agent: 23 Goal: 20 Frozen: [10 11 12 15 16 17],"[0, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
68,"[18, 23, 10, 11, 12, 15, 16, 17]","[12, 10, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 23 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 10 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
69,"[11, 23, 10, 11, 12, 15, 16, 17]","[17, 15, 10, 11, 12, 15, 16, 17]",Agent: 11 Goal: 23 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 15 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
71,"[21, 20, 10, 11, 12, 15, 16, 17]","[6, 5, 10, 11, 12, 15, 16, 17]",Agent: 21 Goal: 20 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 5 Frozen: [10 11 12 15 16 17],"[1, 2, 2]",,1.0,1.0,1.0,1,1.0,0,0
74,"[15, 21, 10, 11, 12, 15, 16, 17]","[6, 2, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 21 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 2 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
78,"[16, 21, 10, 11, 12, 15, 16, 17]","[11, 15, 10, 11, 12, 15, 16, 17]",Agent: 16 Goal: 21 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 15 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
83,"[11, 10, 10, 11, 12, 15, 16, 17]","[17, 10, 10, 11, 12, 15, 16, 17]",Agent: 11 Goal: 10 Frozen: [10 11 12 15 16 17],"Agent: 17 Goal: 10 Frozen: [10, 11, 12, 15, 16, 17]","[3, 2, 2]","[0, 2, 4]",0.0510121996833252,1.0,0.19892106826106706,False,0.2,0,1
92,"[12, 4, 10, 11, 12, 15, 16, 17]","[11, 6, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 4 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 6 Frozen: [10 11 12 15 16 17],"[3, 3, 0]",,1.0,1.0,1.0,1,1.0,0,0
95,"[17, 10, 10, 11, 12, 15, 16, 17]","[8, 6, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 10 Frozen: [10 11 12 15 16 17],Agent: 8 Goal: 6 Frozen: [10 11 12 15 16 17],"[2, 2, 3]",,1.0,1.0,1.0,1,1.0,0,0
107,"[16, 20, 10, 11, 12, 15, 16, 17]","[1, 0, 10, 11, 12, 15, 16, 17]",Agent: 16 Goal: 20 Frozen: [10 11 12 15 16 17],Agent: 1 Goal: 0 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
109,"[18, 11, 10, 11, 12, 15, 16, 17]","[12, 19, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 11 Frozen: [10 11 12 15 16 17],Agent: 12 Goal: 19 Frozen: [10 11 12 15 16 17],"[3, 2, 2]",,1.0,1.0,1.0,1,1.0,0,0
116,"[17, 13, 10, 11, 12, 15, 16, 17]","[11, 20, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 13 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 20 Frozen: [10 11 12 15 16 17],"[0, 0, 3]",,1.0,1.0,1.0,1,1.0,0,0
119,"[23, 19, 10, 11, 12, 15, 16, 17]","[17, 12, 10, 11, 12, 15, 16, 17]",Agent: 23 Goal: 19 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 12 Frozen: [10 11 12 15 16 17],"[1, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
120,"[24, 21, 10, 11, 12, 15, 16, 17]","[9, 10, 10, 11, 12, 15, 16, 17]",Agent: 24 Goal: 21 Frozen: [10 11 12 15 16 17],Agent: 9 Goal: 10 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
123,"[12, 17, 10, 11, 12, 15, 16, 17]","[18, 20, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 17 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 20 Frozen: [10 11 12 15 16 17],"[0, 1, 0]",,1.0,1.0,1.0,1,1.0,0,0
124,"[15, 19, 10, 11, 12, 15, 16, 17]","[11, 22, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 19 Frozen: [10 11 12 15 16 17],Agent: 11 Goal: 22 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
130,"[18, 13, 10, 11, 12, 15, 16, 17]","[16, 15, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 13 Frozen: [10 11 12 15 16 17],Agent: 16 Goal: 15 Frozen: [10 11 12 15 16 17],"[1, 0, 3]",,1.0,1.0,1.0,1,1.0,0,0
137,"[6, 22, 10, 11, 12, 15, 16, 17]","[19, 21, 10, 11, 12, 15, 16, 17]",Agent: 6 Goal: 22 Frozen: [10 11 12 15 16 17],Agent: 19 Goal: 21 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
139,"[9, 6, 10, 11, 12, 15, 16, 17]","[18, 17, 10, 11, 12, 15, 16, 17]",Agent: 9 Goal: 6 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 17 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
140,"[5, 0, 10, 11, 12, 15, 16, 17]","[17, 13, 10, 11, 12, 15, 16, 17]",Agent: 5 Goal: 0 Frozen: [10 11 12 15 16 17],Agent: 17 Goal: 13 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
144,"[7, 4, 10, 11, 12, 15, 16, 17]","[9, 3, 10, 11, 12, 15, 16, 17]",Agent: 7 Goal: 4 Frozen: [10 11 12 15 16 17],Agent: 9 Goal: 3 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
146,"[15, 24, 10, 11, 12, 15, 16, 17]","[6, 17, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 24 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 17 Frozen: [10 11 12 15 16 17],"[0, 1, 0]",,1.0,1.0,1.0,1,1.0,0,0
148,"[12, 20, 10, 11, 12, 15, 16, 17]","[9, 6, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 20 Frozen: [10 11 12 15 16 17],Agent: 9 Goal: 6 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
152,"[22, 12, 10, 11, 12, 15, 16, 17]","[18, 24, 10, 11, 12, 15, 16, 17]",Agent: 22 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 24 Frozen: [10 11 12 15 16 17],"[3, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
153,"[24, 23, 10, 11, 12, 15, 16, 17]","[24, 22, 10, 11, 12, 15, 16, 17]",Agent: 24 Goal: 23 Frozen: [10 11 12 15 16 17],Agent: 24 Goal: 22 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
155,"[19, 16, 10, 11, 12, 15, 16, 17]","[10, 23, 10, 11, 12, 15, 16, 17]",Agent: 19 Goal: 16 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 23 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
156,"[17, 21, 10, 11, 12, 15, 16, 17]","[18, 15, 10, 11, 12, 15, 16, 17]",Agent: 17 Goal: 21 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 15 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
163,"[20, 15, 10, 11, 12, 15, 16, 17]","[22, 20, 10, 11, 12, 15, 16, 17]",Agent: 20 Goal: 15 Frozen: [10 11 12 15 16 17],Agent: 22 Goal: 20 Frozen: [10 11 12 15 16 17],"[2, 2, 4]",,1.0,1.0,1.0,1,1.0,0,0
168,"[22, 13, 10, 11, 12, 15, 16, 17]","[8, 2, 10, 11, 12, 15, 16, 17]",Agent: 22 Goal: 13 Frozen: [10 11 12 15 16 17],Agent: 8 Goal: 2 Frozen: [10 11 12 15 16 17],"[3, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
172,"[8, 2, 10, 11, 12, 15, 16, 17]","[18, 12, 10, 11, 12, 15, 16, 17]",Agent: 8 Goal: 2 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 12 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
173,"[6, 3, 10, 11, 12, 15, 16, 17]","[18, 10, 10, 11, 12, 15, 16, 17]",Agent: 6 Goal: 3 Frozen: [10 11 12 15 16 17],Agent: 18 Goal: 10 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
174,"[15, 22, 10, 11, 12, 15, 16, 17]","[10, 21, 10, 11, 12, 15, 16, 17]",Agent: 15 Goal: 22 Frozen: [10 11 12 15 16 17],Agent: 10 Goal: 21 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
176,"[3, 9, 10, 11, 12, 15, 16, 17]","[6, 3, 10, 11, 12, 15, 16, 17]",Agent: 3 Goal: 9 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 3 Frozen: [10 11 12 15 16 17],"[0, 0, 0]",,1.0,1.0,1.0,1,1.0,0,0
180,"[13, 14, 10, 11, 12, 15, 16, 17]","[20, 22, 10, 11, 12, 15, 16, 17]",Agent: 13 Goal: 14 Frozen: [10 11 12 15 16 17],Agent: 20 Goal: 22 Frozen: [10 11 12 15 16 17],"[0, 0, 1]",,1.0,1.0,1.0,1,1.0,0,0
188,"[18, 16, 10, 11, 12, 15, 16, 17]","[6, 8, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 16 Frozen: [10 11 12 15 16 17],Agent: 6 Goal: 8 Frozen: [10 11 12 15 16 17],"[1, 1, 2]",,1.0,1.0,1.0,1,1.0,0,0
194,"[18, 19, 10, 11, 12, 15, 16, 17]","[4, 6, 10, 11, 12, 15, 16, 17]",Agent: 18 Goal: 19 Frozen: [10 11 12 15 16 17],Agent: 4 Goal: 6 Frozen: [10 11 12 15 16 17],"[1, 1, 1]",,1.0,1.0,1.0,1,1.0,0,0
199,"[22, 13, 10, 11, 12, 15, 16, 17]","[0, 1, 10, 11, 12, 15, 16, 17]",Agent: 22 Goal: 13 Frozen: [10 11 12 15 16 17],Agent: 0 Goal: 1 Frozen: [10 11 12 15 16 17],"[0, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
202,"[13, 12, 10, 11, 12, 15, 16, 17]","[21, 22, 10, 11, 12, 15, 16, 17]",Agent: 13 Goal: 12 Frozen: [10 11 12 15 16 17],Agent: 21 Goal: 22 Frozen: [10 11 12 15 16 17],"[3, 3, 3]",,1.0,1.0,1.0,1,1.0,0,0
203,"[12, 11, 10, 11, 12, 15, 16, 17]","[21, 19, 10, 11, 12, 15, 16, 17]",Agent: 12 Goal: 11 Frozen: [10 11 12 15 16 17],Agent: 21 Goal: 19 Frozen: [10 11 12 15 16 17],"[2, 1, 2]",,1.0,1.0,1.0,1,1.0,0,0
